,Clusterer,Input dimension,"Fit time, s",ARI,AMI,FMI
0,MyKMeans,42,7.986753215000135,0.36299741302684674,0.4979816649044118,0.4293616319841436
1,MyKMeans,86,17.347222182999758,0.366134617381455,0.49666571155890027,0.43214694956047134
2,MyKMeans,484,98.73786563500107,0.36568858950201477,0.4966565728345638,0.4317421842176178
3,MyKMeans,703,113.21257534899996,0.3653652630213717,0.49635607263330805,0.43143741735783886
4,MyKMeans,784,134.8670273810003,0.3653652630213717,0.49635607263330805,0.43143741735783886
0,KMeans,42,1.4345401560003666,0.36036558725436,0.49010633367978296,0.42810186576093434
1,KMeans,86,0.958355593998931,0.36382038042133114,0.4988626838663254,0.43011911504292916
2,KMeans,484,3.106799695000518,0.361087205875628,0.49121254689194616,0.42877615382764256
3,KMeans,703,5.192929722001281,0.36161008248551607,0.4915970295085951,0.42923205269026965
4,KMeans,784,4.352407418999064,0.36161008248551607,0.4915970295085951,0.42923205269026965
0,DBSCAN,42,8.420058854333547,0.10383214752060418,0.25320093967860985,0.3484431281159198
1,DBSCAN,86,13.167818246665774,0.09746626187355135,0.27491631890130336,0.34557174333237856
2,DBSCAN,484,62.46619772866628,0.09239340402385791,0.23720552861374372,0.34764221626275105
3,DBSCAN,703,88.13706215800023,0.0924814166100469,0.2371171858344371,0.34761722694211356
4,DBSCAN,784,100.5092605076655,0.0924814166100469,0.2371171858344371,0.34761722694211356
